o : 0, h : 0, w : 16, ich : 0, kh : 1, kw : 1, ph : 0, pw : 16, pix_idx : 16, weight_idx : 4
o : 0, h : 0, w : 16, ich : 0, kh : 1, kw : 2, ph : 0, pw : 17, pix_idx : 17, weight_idx : 5
o : 0, h : 0, w : 16, ich : 0, kh : 2, kw : 0, ph : 1, pw : 15, pix_idx : 43, weight_idx : 6
o : 0, h : 0, w : 16, ich : 0, kh : 2, kw : 1, ph : 1, pw : 16, pix_idx : 44, weight_idx : 7
o : 0, h : 0, w : 16, ich : 0, kh : 2, kw : 2, ph : 1, pw : 17, pix_idx : 45, weight_idx : 8
wが16の時
o : 0, h : 0, w : 17, ich : 0, kh : 0, kw : 0, ph : -1, pw : 16, pix_idx : -12, weight_idx : 0
o : 0, h : 0, w : 17, ich : 0, kh : 0, kw : 1, ph : -1, pw : 17, pix_idx : -11, weight_idx : 1
o : 0, h : 0, w : 17, ich : 0, kh : 0, kw : 2, ph : -1, pw : 18, pix_idx : -10, weight_idx : 2
o : 0, h : 0, w : 17, ich : 0, kh : 1, kw : 0, ph : 0, pw : 16, pix_idx : 16, weight_idx : 3
o : 0, h : 0, w : 17, ich : 0, kh : 1, kw : 1, ph : 0, pw : 17, pix_idx : 17, weight_idx : 4
o : 0, h : 0, w : 17, ich : 0, kh : 1, kw : 2, ph : 0, pw : 18, pix_idx : 18, weight_idx : 5
o : 0, h : 0, w : 17, ich : 0, kh : 2, kw : 0, ph : 1, pw : 16, pix_idx : 44, weight_idx : 6
o : 0, h : 0, w : 17, ich : 0, kh : 2, kw : 1, ph : 1, pw : 17, pix_idx : 45, weight_idx : 7
o : 0, h : 0, w : 17, ich : 0, kh : 2, kw : 2, ph : 1, pw : 18, pix_idx : 46, weight_idx : 8
wが17の時
o : 0, h : 0, w : 18, ich : 0, kh : 0, kw : 0, ph : -1, pw : 17, pix_idx : -11, weight_idx : 0
